"u","G","H","Points:0","Points:1","Points:2"
-6.4204,-217.88,217.88,1.05,0.827,-0.979
-6.1828,-201.69,201.69,0.784,0.817,-0.735
-5.8866,-193.59,193.59,0.784,0.536,-0.923
-5.7596,-184.05,184.05,0.458,0.656,-0.682
-5.4736,-174.45,174.45,0.458,0.394,-0.902
-5.1891,-167.51,167.51,0.458,0.223,-1.198
-5.0807,-160.68,160.68,0.111,0.394,-0.902
-4.7759,-152.05,152.05,0.111,0.223,-1.198
-0.7851,-85.545,85.545,0.393,-0.02,2.961
-0.51514,-72.551,72.551,0.066,-0.443,3.128
-0.69222,-82.289,82.289,0.066,-0.181,2.908
-0.7628,-80.607,80.607,-0.281,-0.181,2.908
-1.8155,-105.33,105.33,1.755,-0.682,3.056
-6.2742,-233.73,233.73,3.55,-1.425,-0.123
-5.7641,-212.09,212.09,3.224,-1.551,-0.128
-5.6418,-205.67,205.67,3.224,-1.738,0.153
-6.7839,-256.9,256.9,3.448,-0.871,-1.213
-6.7194,-250.31,250.31,2.283,-0.083,-1.669
-8.3374,-299.6,299.6,2.936,2.238,-2.24
-7.8076,-290.56,290.56,3.218,2.945,-1.445
-7.0392,-256.13,256.13,2.637,2.776,-0.529
-3.8552,-164.57,164.57,2.948,-0.234,2.397
-3.5209,-156.29,156.29,2.948,0.098,2.331
-6.5991,-244.9,244.9,4.165,-0.335,1.09
-6.329,-238.58,238.58,4.165,-0.004,1.156
-6.2226,-226.1,226.1,3.899,-0.335,1.314
-5.8406,-217.01,217.01,3.899,-0.014,1.4
-6.4156,-251.6,251.6,4.686,1.234,0.679
-7.6864,-293.51,293.51,5.958,1.366,-0.79
-8.8865,-325.87,325.87,5.199,2.052,-3.536
-8.9161,-327.72,327.72,4.852,2.373,-3.653
-8.9942,-326.56,326.56,4.852,2.052,-3.536
-1.3584,-55.9,55.9,-7.644,0.019,-1.613
-1.4608,-58.011,58.011,-7.644,-0.035,-1.276
-1.1628,-52.892,52.892,-7.644,-1.956,-0.971
-1.063,-49.654,49.654,-7.644,-2.111,-1.276
-0.96778,-47.457,47.457,-7.644,-2.165,-1.613
-0.94214,-45.908,45.908,-7.644,-2.111,-1.95
-0.87882,-44.847,44.847,-7.644,-1.956,-2.255
-0.83272,-44.185,44.185,-7.644,-1.715,-2.496
-0.83331,-44.118,44.118,-7.644,-1.41,-2.651
-1.2229,-53.874,53.874,-7.644,-0.035,-1.95
-1.0728,-47.703,47.703,-7.932,-0.166,-1.613
-1.1383,-49.655,49.655,-7.932,-0.227,-1.285
-1.1936,-51.568,51.568,-7.932,-0.403,-1.002
-1.0457,-48.164,48.164,-7.932,-1.62,-0.889
-0.92481,-45.058,45.058,-7.932,-1.844,-1.136
-0.84967,-42.59,42.59,-7.932,-1.964,-1.446
-0.7608,-40.843,40.843,-7.932,-1.964,-1.78
-0.72875,-39.74,39.74,-7.932,-1.844,-2.09
-0.68808,-39.241,39.241,-7.932,-1.62,-2.337
-0.74381,-39.356,39.356,-7.932,-1.321,-2.485
-0.75878,-40.278,40.278,-7.932,-0.989,-2.516
-0.84873,-41.864,41.864,-7.932,-0.669,-2.425
-0.92155,-43.802,43.802,-7.932,-0.403,-2.224
-0.99683,-45.804,45.804,-7.932,-0.227,-1.941
-0.87781,-42.02,42.02,-8.156,-0.424,-1.613
-0.94578,-43.713,43.713,-8.156,-0.511,-1.289
-0.98367,-44.8,44.8,-8.156,-0.749,-1.051
-0.94165,-44.505,44.505,-8.156,-1.073,-0.964
-0.8733,-42.645,42.645,-8.156,-1.397,-1.051
-0.76245,-40.172,40.172,-8.156,-1.635,-1.289
-0.69842,-38.099,38.099,-8.156,-1.722,-1.613
-0.64218,-36.808,36.808,-8.156,-1.635,-1.937
-0.63569,-36.417,36.417,-8.156,-1.397,-2.175
-0.65713,-36.971,36.971,-8.156,-1.073,-2.262
-0.72602,-38.326,38.326,-8.156,-0.749,-2.175
-0.80409,-40.138,40.138,-8.156,-0.511,-1.937
-0.76528,-38.334,38.334,-8.297,-0.735,-1.613
-0.79311,-39.504,39.504,-8.297,-0.904,-1.32
-0.72174,-38.504,38.504,-8.297,-1.242,-1.32
-0.65745,-36.407,36.407,-8.297,-1.411,-1.613
-0.6366,-35.511,35.511,-8.297,-1.242,-1.906
-0.66694,-36.456,36.456,-8.297,-0.904,-1.906
-0.68727,-36.521,36.521,-8.346,-1.073,-1.613
-2.7518,-105.88,105.88,-6.041,0.69,0.405
-2.3936,-100.64,100.64,-6.041,-2.384,0.572
-2.8022,-107.57,107.57,-6.358,0.622,0.405
-2.4577,-102.14,102.14,-6.358,-2.289,0.733
-2.5305,-102.74,102.74,-6.358,-2.326,0.405
-2.8589,-107.81,107.81,-6.358,0.585,0.077
-2.825,-108.48,108.48,-6.654,0.49,0.405
-2.7552,-106.6,106.6,-6.654,0.448,0.739
-2.5034,-102.72,102.72,-6.654,-2.1,0.899
-2.5704,-103.93,103.93,-6.654,-2.184,0.573
-2.6076,-103.67,103.67,-6.654,-2.184,0.237
-2.8714,-108.68,108.68,-6.654,0.448,0.071
-2.8326,-108.63,108.63,-6.916,0.3,0.405
-2.7638,-107.27,107.27,-6.916,0.253,0.73
-2.627,-104.49,104.49,-6.916,0.117,1.028
-2.4969,-102.96,102.96,-6.916,-1.821,1.028
-2.5822,-104.43,104.43,-6.916,-1.957,0.73
-2.5972,-104.5,104.5,-6.916,-2.004,0.405
-2.8508,-108.48,108.48,-6.916,0.253,0.08
-2.8011,-108.15,108.15,-7.133,0.059,0.405
-2.7367,-107.26,107.26,-7.133,-0.002,0.734
-2.6476,-105.12,105.12,-7.133,-0.179,1.019
-2.5669,-102.69,102.69,-7.133,-0.446,1.221
-2.4328,-103.08,103.08,-7.133,-1.401,1.132
-2.5602,-104.51,104.51,-7.133,-1.627,0.885
-2.6049,-104.92,104.92,-7.133,-1.748,0.572
-2.7511,-107.24,107.24,-7.295,-0.222,0.405
-2.7236,-106.94,106.94,-7.295,-0.306,0.72
-2.6516,-105.6,105.6,-7.295,-0.537,0.951
-2.6227,-104.73,104.73,-7.295,-0.852,1.035
-2.5836,-104.89,104.89,-7.295,-1.167,0.951
-2.5876,-105.27,105.27,-7.295,-1.398,0.72
-2.7372,-106.14,106.14,-7.395,-0.53,0.405
-2.7008,-106.28,106.28,-7.395,-0.691,0.684
-2.6254,-105.73,105.73,-7.395,-1.013,0.684
-1.8836,-82.234,82.234,-5.673,-2.443,-2.108
-1.9958,-84.578,84.578,-5.99,-2.538,-1.947
-1.8118,-79.818,79.818,-5.99,-2.467,-2.272
-2.3136,-88.382,88.382,-5.99,0.393,-2.427
-2.4877,-93.531,93.531,-5.99,0.499,-2.111
-2.5301,-94.986,94.986,-6.314,0.536,-1.78
-2.0413,-85.362,85.362,-6.314,-2.538,-1.613
-1.961,-82.704,82.704,-6.314,-2.538,-1.947
-1.8289,-78.628,78.628,-6.314,-2.467,-2.272
-2.2759,-87.626,87.626,-6.314,0.393,-2.427
-2.441,-92.311,92.311,-6.314,0.499,-2.111
-2.414,-91.349,91.349,-6.631,0.468,-1.78
-2.4917,-93.35,93.35,-6.631,0.431,-1.452
-1.9752,-81.447,81.447,-6.631,-2.443,-1.452
-1.8869,-79.319,79.319,-6.631,-2.48,-1.78
-1.7984,-76.663,76.663,-6.631,-2.443,-2.108
-1.6785,-72.906,72.906,-6.631,-2.334,-2.42
-1.4691,-67.789,67.789,-6.631,-2.159,-2.699
-1.9239,-78.736,78.736,-6.631,0.147,-2.699
-2.1604,-84.544,84.544,-6.631,0.322,-2.42
-2.3185,-88.639,88.639,-6.631,0.431,-2.108
-1.2546,-61.564,61.564,-6.927,-1.862,-2.814
-1.5127,-67.583,67.583,-6.927,-0.287,-2.913
-1.715,-73.426,73.426,-6.927,-0.027,-2.699
-1.9422,-78.292,78.292,-6.927,0.17,-2.427
-2.1042,-81.831,81.831,-6.927,0.294,-2.114
-1.5235,-75.668,75.668,-4.953,-2.544,-0.427
-1.5169,-74.601,74.601,-4.953,-2.576,-0.752
-1.5384,-75.091,75.091,-4.953,-2.544,-1.077
-1.621,-76.709,76.709,-4.953,-2.449,-1.39
-1.6741,-79.971,79.971,-5.285,-2.54,-0.273
-1.6392,-77.282,77.282,-5.285,-2.601,-0.59
-1.6321,-76.689,76.689,-5.285,-2.601,-0.914
-1.8348,-82.432,82.432,-5.617,-2.544,-0.427
-1.8042,-80.262,80.262,-5.617,-2.576,-0.752
-1.2905,-59.897,59.897,-5.199,-2.088,-3.018
-1.2109,-56.056,56.056,-5.199,-1.933,-3.323
-1.1526,-53.897,53.897,-5.199,-1.692,-3.564
-1.1603,-53.248,53.248,-5.199,-1.387,-3.719
-1.2325,-54.041,54.041,-5.199,-1.05,-3.773
-1.3043,-56.091,56.091,-5.199,-0.713,-3.719
-1.4508,-59.446,59.446,-5.199,-0.408,-3.564
-1.6129,-63.987,63.987,-5.199,-0.167,-3.323
-1.2406,-58.113,58.113,-5.526,-2.19,-3.016
-1.142,-53.303,53.303,-5.526,-2.049,-3.323
-1.0495,-50.437,50.437,-5.526,-1.828,-3.579
-1.0017,-49.068,49.068,-5.526,-1.543,-3.761
-1.0306,-49.13,49.13,-5.526,-1.219,-3.857
-1.1017,-50.385,50.385,-5.526,-0.881,-3.857
-1.2,-52.788,52.788,-5.526,-0.557,-3.761
-1.3515,-56.492,56.492,-5.526,-0.272,-3.579
-1.5186,-61.463,61.463,-5.526,-0.051,-3.323
-1.0769,-51.827,51.827,-5.868,-2.049,-3.323
-0.96096,-48.42,48.42,-5.868,-1.828,-3.579
-0.93487,-46.74,46.74,-5.868,-1.543,-3.761
-0.96358,-46.62,46.62,-5.868,-1.219,-3.857
-1.0509,-47.796,47.796,-5.868,-0.881,-3.857
-1.089,-50.239,50.239,-5.868,-0.557,-3.761
-1.2461,-54.163,54.163,-5.868,-0.272,-3.579
-1.4321,-59.697,59.697,-5.868,-0.051,-3.323
-1.0284,-51.118,51.118,-6.195,-1.933,-3.323
-0.90395,-47.505,47.505,-6.195,-1.692,-3.564
-0.90284,-46.041,46.041,-6.195,-1.387,-3.719
-0.92705,-46.413,46.413,-6.195,-1.05,-3.773
-0.99849,-48.41,48.41,-6.195,-0.713,-3.719
-1.1382,-52.224,52.224,-6.195,-0.408,-3.564
-0.91654,-47.571,47.571,-6.483,-1.298,-3.553
-0.93601,-48.246,48.246,-6.483,-0.966,-3.584
-1.0426,-51.272,51.272,-6.483,-0.646,-3.493
-2.8564,-107.44,107.44,-3.556,0.916,-0.878
-2.6529,-101.75,101.75,-3.888,0.949,-0.878
-2.8348,-106.25,106.25,-3.888,0.918,-1.2
-2.4408,-95.739,95.739,-4.22,0.916,-0.878
-2.3061,-93.262,93.262,-4.22,0.884,-0.553
-2.7934,-103.05,103.05,-4.22,0.789,-1.516
-2.6132,-99.046,99.046,-4.22,0.884,-1.203
-2.1667,-85.81,85.81,-5.285,0.791,-0.752
-2.2229,-87.998,87.998,-5.285,0.76,-0.43
-2.3212,-86.428,86.428,-5.285,0.669,-1.384
-2.2168,-85.398,85.398,-5.285,0.76,-1.074
-2.3033,-88.429,88.429,-5.617,0.758,-0.752
-2.2984,-87.675,87.675,-5.617,0.726,-1.077
-2.4216,-92.147,92.147,-5.936,0.662,-0.752
-2.4273,-96.222,96.222,-4.811,0.883,1.146
-2.161,-88.518,88.518,-5.143,0.948,1.471
-2.0714,-85.727,85.727,-5.143,0.917,1.793
-1.9599,-82.947,82.947,-5.143,0.826,2.103
-1.8409,-80.139,80.139,-5.143,0.678,2.39
-2.3506,-94.05,94.05,-5.143,0.826,0.839
-2.2789,-91.319,91.319,-5.143,0.917,1.149
-2.0508,-84.867,84.867,-5.475,0.915,1.471
-1.9001,-80.791,80.791,-5.475,0.883,1.796
-1.7568,-77.033,77.033,-5.475,0.788,2.109
-2.2266,-89.455,89.455,-5.475,0.883,1.146
-2.0228,-83.598,83.598,-5.794,0.819,1.471
-1.8077,-78.061,78.061,-5.794,0.784,1.798
-1.6469,-73.27,73.27,-5.794,0.683,2.11
-2.0416,-84.331,84.331,-6.087,0.661,1.471
-1.787,-77.125,77.125,-6.087,0.623,1.797
-1.8257,-77.626,77.626,-6.345,0.406,1.795
-1.6701,-73.019,73.019,-5.167,-0.091,3.299
-1.6299,-72.038,72.038,-5.167,-0.396,3.454
-1.5941,-71.229,71.229,-5.167,-0.733,3.508
-1.562,-70.635,70.635,-5.167,-1.07,3.454
-1.5319,-70.206,70.206,-5.167,-1.375,3.299
-1.5473,-69.66,69.66,-5.494,0.266,3.058
-1.5291,-69.004,69.004,-5.494,0.045,3.314
-1.516,-68.206,68.206,-5.494,-0.24,3.496
-1.4782,-67.498,67.498,-5.494,-0.564,3.592
-1.4463,-66.936,66.936,-5.494,-0.902,3.592
-1.4312,-66.532,66.532,-5.494,-1.226,3.496
-1.4008,-66.254,66.254,-5.494,-1.511,3.314
-1.4505,-66.803,66.803,-5.836,0.266,3.058
-1.4344,-66.098,66.098,-5.836,0.045,3.314
-1.4207,-65.35,65.35,-5.836,-0.24,3.496
-1.3992,-64.72,64.72,-5.836,-0.564,3.592
-1.3888,-64.243,64.243,-5.836,-0.902,3.592
-1.3714,-63.941,63.941,-5.836,-1.226,3.496
-1.3442,-63.824,63.824,-5.836,-1.511,3.314
-1.2968,-63.808,63.808,-5.836,-1.732,3.058
-1.4218,-65.878,65.878,-6.163,0.305,2.753
-1.4138,-64.937,64.937,-6.163,0.15,3.058
-1.3869,-64.071,64.071,-6.163,-0.091,3.299
-1.3632,-63.332,63.332,-6.163,-0.396,3.454
-1.3511,-62.802,62.802,-6.163,-0.733,3.508
-1.3233,-62.502,62.502,-6.163,-1.07,3.454
-1.3177,-62.483,62.483,-6.163,-1.375,3.299
-1.2887,-62.764,62.764,-6.163,-1.616,3.058
-1.281,-63.434,63.434,-6.163,-1.771,2.753
-1.4265,-65.148,65.148,-6.451,0.113,2.744
-1.396,-63.828,63.828,-6.451,-0.063,3.027
-1.3672,-62.872,62.872,-6.451,-0.329,3.228
-1.33,-62.245,62.245,-6.451,-0.649,3.319
-1.3097,-61.982,61.982,-6.451,-0.981,3.288
-1.3068,-62.163,62.163,-6.451,-1.28,3.14
-1.3114,-62.9,62.9,-6.451,-1.504,2.893
-1.3413,-64.505,64.505,-6.451,-1.624,2.583
-1.5154,-67.317,67.317,-6.675,-0.084,2.416
-1.4347,-64.739,64.739,-6.675,-0.171,2.74
-1.3873,-63.247,63.247,-6.675,-0.409,2.978
-1.356,-62.552,62.552,-6.675,-0.733,3.065
-1.3477,-62.674,62.674,-6.675,-1.057,2.978
-1.3527,-63.874,63.874,-6.675,-1.295,2.74
-1.5297,-67.526,67.526,-6.816,-0.395,2.416
-1.4419,-64.658,64.658,-6.816,-0.564,2.709
-1.4232,-64.437,64.437,-6.816,-0.902,2.709
-1.4935,-67.307,67.307,-6.816,-1.071,2.416
-1.5138,-67.565,67.565,-6.865,-0.733,2.416
-1.7639,-79.344,79.344,-4.811,-1.931,2.65
-1.7649,-80.355,80.355,-4.811,-2.138,2.397
-1.825,-81.6,81.6,-4.811,-2.292,2.109
-1.8248,-83.075,83.075,-4.811,-2.387,1.796
-1.863,-84.723,84.723,-4.811,-2.419,1.471
-1.8642,-86.368,86.368,-4.811,-2.387,1.146
-1.5069,-72.346,72.346,-5.143,-2.088,2.522
-1.5503,-74.454,74.454,-5.143,-2.263,2.25
-1.6376,-76.908,76.908,-5.143,-2.383,1.95
-1.7268,-79.792,79.792,-5.143,-2.444,1.633
-1.8239,-83.166,83.166,-5.143,-2.444,1.309
-1.4709,-72.003,72.003,-5.475,-2.292,2.109
-1.6092,-75.951,75.951,-5.475,-2.387,1.796
-1.7653,-80.776,80.776,-5.475,-2.419,1.471
-1.4444,-70.222,70.222,-5.794,-2.187,2.11
-1.5993,-75.537,75.537,-5.794,-2.288,1.798
-1.5293,-72.987,72.987,-6.087,-2.08,1.954
-2.1503,-99.07,99.07,-2.888,-2.223,0.964
-1.9444,-93.717,93.717,-2.888,-2.318,0.651
-1.7962,-90.408,90.408,-2.888,-2.35,0.326
-1.722,-89.235,89.235,-2.888,-2.318,0.001
-2.0671,-96.253,96.253,-3.22,-2.314,0.805
-1.8566,-91.094,91.094,-3.22,-2.375,0.488
-1.735,-88.161,88.161,-3.22,-2.375,0.164
-1.9455,-92.988,92.988,-3.552,-2.318,0.651
-1.7618,-87.859,87.859,-3.552,-2.35,0.326
-1.9095,-92.122,92.122,-3.556,-2.418,-0.878
-1.6675,-84.301,84.301,-3.888,-2.443,-0.716
-1.8273,-88.188,88.188,-3.888,-2.443,-1.04
-2.0325,-93.509,93.509,-3.888,-2.382,-1.357
-3.2788,-132.07,132.07,-2.504,-1.903,-2.82
-3.4055,-134.37,134.37,-2.504,-1.669,-3.054
-3.5122,-136.49,136.49,-2.504,-1.39,-3.229
-3.63,-138.46,138.46,-2.504,-1.078,-3.338
-3.7256,-140.23,140.23,-2.504,-0.75,-3.375
-3.8091,-141.77,141.77,-2.504,-0.422,-3.338
-3.8904,-142.96,142.96,-2.504,-0.11,-3.229
-3.9561,-143.66,143.66,-2.504,0.169,-3.054
-2.9719,-124.65,124.65,-2.821,-2.282,-2.068
-3.0858,-127.36,127.36,-2.821,-2.211,-2.393
-3.2114,-129.72,129.72,-2.821,-2.071,-2.696
-3.3172,-131.84,131.84,-2.821,-1.869,-2.961
-3.4067,-133.76,133.76,-2.821,-1.615,-3.177
-3.5021,-135.6,135.6,-2.821,-1.321,-3.333
-3.6005,-137.39,137.39,-2.821,-0.999,-3.422
-3.6867,-139.04,139.04,-2.821,-0.667,-3.44
-3.7578,-140.54,140.54,-2.821,-0.338,-3.386
-3.8352,-141.71,141.71,-2.821,-0.028,-3.263
-3.8896,-142.48,142.48,-2.821,0.248,-3.076
-3.9168,-142.68,142.68,-2.821,0.477,-2.834
-3.9101,-142.14,142.14,-2.821,0.649,-2.548
-2.9274,-122.84,122.84,-3.145,-2.282,-2.068
-3.054,-125.35,125.35,-3.145,-2.211,-2.393
-3.1194,-127.45,127.45,-3.145,-2.071,-2.696
-3.2173,-129.29,129.29,-3.145,-1.869,-2.961
-3.321,-130.97,130.97,-3.145,-1.615,-3.177
-3.3979,-132.62,132.62,-3.145,-1.321,-3.333
-3.4881,-134.3,134.3,-3.145,-0.999,-3.422
-3.572,-135.93,135.93,-3.145,-0.667,-3.44
-3.6579,-137.47,137.47,-3.145,-0.338,-3.386
-3.719,-138.75,138.75,-3.145,-0.028,-3.263
-3.7688,-139.64,139.64,-3.145,0.248,-3.076
-3.8183,-139.99,139.99,-3.145,0.477,-2.834
-3.8405,-139.59,139.59,-3.145,0.649,-2.548
-3.8209,-138.29,138.29,-3.145,0.755,-2.232
-2.9038,-121.06,121.06,-3.462,-2.187,-2.229
-2.9452,-123.2,123.2,-3.462,-2.078,-2.541
-3.0844,-124.86,124.86,-3.462,-1.903,-2.82
-3.1498,-126.34,126.34,-3.462,-1.669,-3.054
-3.2331,-127.8,127.8,-3.462,-1.39,-3.229
-3.328,-129.38,129.38,-3.462,-1.078,-3.338
-3.4152,-131.05,131.05,-3.462,-0.75,-3.375
-3.5006,-132.73,132.73,-3.462,-0.422,-3.338
-3.5639,-134.25,134.25,-3.462,-0.11,-3.229
-3.6406,-135.4,135.4,-3.462,0.169,-3.054
-3.6825,-135.97,135.97,-3.462,0.403,-2.82
-3.7101,-135.75,135.75,-3.462,0.578,-2.541
-3.7019,-134.52,134.52,-3.462,0.687,-2.229
-3.5162,-130.61,130.61,-3.758,0.229,-2.82
-3.555,-130.82,130.82,-3.758,0.426,-2.548
-2.1689,-101.72,101.72,-1.213,-2.11,-1.94
-3.6021,-127.65,127.65,-1.213,0.76,-1.94
-3.6808,-129.04,129.04,-1.213,0.861,-1.628
-3.5946,-127.86,127.86,-1.532,0.992,-1.301
-2.1375,-101.78,101.78,-1.532,-2.31,-1.626
-2.3142,-105.26,105.26,-1.532,-2.215,-1.939
-2.5042,-108.79,108.79,-1.532,-2.061,-2.227
-2.6503,-112.22,112.22,-1.532,-1.854,-2.48
-3.5625,-127.87,127.87,-1.532,0.504,-2.48
-3.5587,-128.32,128.32,-1.532,0.711,-2.227
-3.5824,-128.44,128.44,-1.532,0.865,-1.939
-3.5908,-128.26,128.26,-1.532,0.96,-1.626
-3.4824,-125.99,125.99,-1.864,1.025,-1.301
-2.006,-99.554,99.554,-1.864,-2.367,-1.139
-2.1935,-103.52,103.52,-1.864,-2.367,-1.463
-2.4139,-107.92,107.92,-1.864,-2.306,-1.78
-3.6557,-131.17,131.17,-1.864,0.755,-2.22
-3.5934,-129.52,129.52,-1.864,0.903,-1.933
-3.5458,-127.79,127.79,-1.864,0.994,-1.623
-3.4173,-125.09,125.09,-2.196,0.992,-1.301
-2.0269,-100.57,100.57,-2.196,-2.31,-0.976
-2.2595,-105.6,105.6,-2.196,-2.342,-1.301
-3.5413,-128.58,128.58,-2.196,0.96,-1.626
-2.7175,-105.4,105.4,-3.22,1.017,0.326
-2.8159,-108.56,108.56,-3.22,0.986,0.648
-2.6565,-103.84,103.84,-3.22,0.986,0.004
-2.6147,-103.07,103.07,-3.552,0.984,0.326
-2.5408,-100.55,100.55,-3.871,0.888,0.326
-3.239,-125.45,125.45,-3.36,0.78,1.892
-3.1664,-125.05,125.05,-3.36,0.671,2.204
-3.0882,-124.02,124.02,-3.36,0.496,2.483
-3.0033,-122.76,122.76,-3.36,0.262,2.717
-2.9279,-121.55,121.55,-3.36,-0.017,2.892
-2.9135,-120.58,120.58,-3.36,-0.329,3.001
-2.8691,-119.91,119.91,-3.36,-0.657,3.038
-2.834,-119.59,119.59,-3.36,-0.985,3.001
-2.8527,-119.49,119.49,-3.36,-1.297,2.892
-2.8685,-119.47,119.47,-3.36,-1.576,2.717
-2.8606,-119.3,119.3,-3.36,-1.81,2.483
-2.8646,-118.72,118.72,-3.36,-1.985,2.204
-2.7932,-117.38,117.38,-3.36,-2.094,1.892
-3.1706,-122.21,122.21,-3.677,0.885,1.564
-3.1355,-122.81,122.81,-3.677,0.848,1.895
-3.1016,-122.38,122.38,-3.677,0.742,2.211
-3.0114,-121.39,121.39,-3.677,0.57,2.497
-2.9337,-120.13,120.13,-3.677,0.341,2.739
-2.8673,-118.85,118.85,-3.677,0.065,2.926
-2.831,-117.74,117.74,-3.677,-0.245,3.049
-2.817,-116.84,116.84,-3.677,-0.574,3.103
-2.7462,-116.23,116.23,-3.677,-0.906,3.085
-2.713,-115.85,115.85,-3.677,-1.228,2.996
-2.7394,-115.65,115.65,-3.677,-1.522,2.84
-2.7382,-115.47,115.47,-3.677,-1.776,2.624
-2.7439,-115.07,115.07,-3.677,-1.978,2.359
-2.7502,-114.29,114.29,-3.677,-2.118,2.056
-2.6672,-112.85,112.85,-3.677,-2.189,1.731
-3.039,-117.92,117.92,-4.001,0.885,1.564
-3.0273,-118.2,118.2,-4.001,0.848,1.895
-2.942,-117.58,117.58,-4.001,0.742,2.211
-2.8291,-116.47,116.47,-4.001,0.57,2.497
-2.8059,-115.09,115.09,-4.001,0.341,2.739
-2.7531,-113.68,113.68,-4.001,0.065,2.926
-2.1334,-102.21,102.21,0.781,-3.001,3.438
-2.3719,-109.12,109.12,0.781,-3.245,3.222
-2.5293,-113.63,113.63,0.781,-3.43,2.954
-2.3509,-107.13,107.13,0.464,-3.145,3.469
-2.5651,-112.98,112.98,0.464,-3.376,3.238
-2.7054,-117.05,117.05,0.464,-3.551,2.961
-2.7952,-119.9,119.9,0.464,-3.659,2.651
-2.8505,-121.76,121.76,0.464,-3.695,2.326
-2.8672,-122.76,122.76,0.464,-3.659,2.001
-2.8615,-122.94,122.94,0.464,-3.551,1.691
-2.3872,-107.38,107.38,0.13,-3.075,3.568
-2.593,-113.3,113.3,0.13,-3.322,3.358
-2.7473,-117.68,117.68,0.13,-3.518,3.099
-2.8643,-120.86,120.86,0.13,-3.654,2.805
-2.9414,-123.1,123.1,0.13,-3.724,2.488
-2.9694,-124.54,124.54,0.13,-3.724,2.164
-2.99,-125.19,125.19,0.13,-3.654,1.847
-2.3442,-105.91,105.91,-0.204,-2.868,3.644
-2.5738,-112.24,112.24,-0.204,-3.145,3.469
-2.7183,-117.03,117.03,-0.204,-3.376,3.238
-2.8668,-120.6,120.6,-0.204,-3.551,2.961
-2.9667,-123.27,123.27,-0.204,-3.659,2.651
-3.015,-125.12,125.12,-0.204,-3.695,2.326
-3.0199,-126.08,126.08,-0.204,-3.659,2.001
-2.1491,-100.26,100.26,-0.521,-2.396,3.668
-2.3858,-107.32,107.32,-0.521,-2.712,3.59
-2.5772,-113.15,113.15,-0.521,-3.001,3.438
-2.7717,-117.73,117.73,-0.521,-3.245,3.222
-2.8845,-121.26,121.26,-0.521,-3.43,2.954
-2.9863,-123.9,123.9,-0.521,-3.545,2.649
-3.0358,-125.68,125.68,-0.521,-3.584,2.326
-3.033,-126.57,126.57,-0.521,-3.545,2.003
-2.1264,-100.54,100.54,-0.805,-2.066,3.487
-2.3667,-106.76,106.76,-0.805,-2.4,3.487
-2.572,-112.5,112.5,-0.805,-2.72,3.393
-2.7536,-117.33,117.33,-0.805,-3.001,3.212
-2.883,-121.1,121.1,-0.805,-3.22,2.96
-2.9948,-123.94,123.94,-0.805,-3.358,2.656
-3.0266,-125.76,125.76,-0.805,-3.406,2.326
-3.0294,-126.59,126.59,-0.805,-3.358,1.996
-2.5477,-111.99,111.99,-1.043,-2.395,3.247
-2.7374,-116.67,116.67,-1.043,-2.701,3.136
-2.8749,-120.6,120.6,-1.043,-2.949,2.927
-2.9547,-123.53,123.53,-1.043,-3.112,2.646
-3.0123,-125.43,125.43,-1.043,-3.168,2.326
-2.995,-126.1,126.1,-1.043,-3.112,2.006
-2.7856,-118.58,118.58,-1.221,-2.558,2.89
-2.9484,-122.31,122.31,-1.221,-2.797,2.651
-3.001,-124.57,124.57,-1.221,-2.884,2.326
-2.9765,-125,125,-1.221,-2.797,2.001
-2.1816,-102.89,102.89,0.756,-3.047,-0.215
-2.107,-99.657,99.657,0.468,-3.368,0.262
-2.1112,-99.149,99.149,0.468,-3.314,-0.075
-2.1481,-100.19,100.19,0.468,-3.159,-0.38
-2.2047,-102.17,102.17,0.468,-2.918,-0.621
-2.2711,-104.58,104.58,0.468,-2.613,-0.776
-2.1089,-97.973,97.973,0.141,-3.464,0.262
-2.0591,-96.748,96.748,0.141,-3.416,-0.073
-2.0565,-97.055,97.055,0.141,-3.275,-0.38
-2.0893,-98.329,98.329,0.141,-3.054,-0.636
-2.1219,-100.03,100.03,0.141,-2.769,-0.818
-2.065,-96.49,96.49,-0.201,-3.464,0.262
-1.9984,-94.831,94.831,-0.201,-3.416,-0.073
-1.9723,-94.684,94.684,-0.201,-3.275,-0.38
-1.9762,-95.45,95.45,-0.201,-3.054,-0.636
-1.9991,-95.266,95.266,-0.528,-3.368,0.262
-1.9293,-93.368,93.368,-0.528,-3.314,-0.075
-1.8899,-92.971,92.971,-0.528,-3.159,-0.38
-2.0007,-95.992,95.992,-0.816,-3.167,0.429
-1.8856,-93.088,93.088,-0.816,-3.167,0.095
-1.8028,-91.914,91.914,-0.816,-3.047,-0.215
-1.8577,-93.453,93.453,-1.04,-2.925,0.262
-2.9507,-118.88,118.88,0.075,-1.217,-2.175
-3.2369,-124.05,124.05,0.075,-0.979,-2.413
-3.5161,-129.69,129.69,0.075,-0.655,-2.5
-3.7783,-134.94,134.94,0.075,-0.331,-2.413
-2.6929,-112.84,112.84,-0.149,-1.426,-2.328
-2.9343,-117.27,117.27,-0.149,-1.202,-2.575
-3.1856,-121.95,121.95,-0.149,-0.903,-2.723
-3.4156,-126.71,126.71,-0.149,-0.571,-2.754
-3.6396,-131.13,131.13,-0.149,-0.251,-2.663
